"","text","user_screen_name","is_retweet","date_created","truncated","quote_count","reply_count","retweet_count","favorite_count","retweet_text","retweet_original_user"
"1","MY FAVORITE INTERVENTION!! fentanyl lollipops!","stephosaurusrex",FALSE,"Sat Dec 31 23:18:17 +0000 2011",FALSE,0,1,0,0,NA,NA
"2","No effect on inpt, though hosps should have a policy anyway “@ASHPOfficial: REMS Coming for Some Fentanyl Products http://t.co/5ym7l7NV”","adampesaturo",FALSE,"Sat Dec 31 21:44:22 +0000 2011",FALSE,0,0,0,0,NA,NA
"3","@Aion_Fentanyl sounds like a hell of a new years eve start","FinixTheHomie",FALSE,"Sat Dec 31 21:18:46 +0000 2011",FALSE,0,0,0,0,NA,NA
"4","Congratulations Fentanyl on his new, shiny Bakarma's spear. (Cantaloupe screenshot: http://t.co/FVGhneQw )","idontknowlegion",FALSE,"Sat Dec 31 20:06:56 +0000 2011",FALSE,0,0,0,0,NA,NA
"5","Fentanyl transdermal system: Uses and side effects - http://t.co/sQbd49ui","edsiri",FALSE,"Sat Dec 31 19:10:11 +0000 2011",FALSE,0,0,0,0,NA,NA
"6","Fentanyl patch on deck. Hope this helps with the pain without making me a junkie. It's not morphine though. Lol","Foxyma2k9",FALSE,"Sat Dec 31 18:14:08 +0000 2011",FALSE,0,0,0,0,NA,NA
"7","Asthma News: ProStrakan announces FDA approval for Transmucosal Immediate Release Fentanyl REMS Access program: ... http://t.co/nPPSI5Gr","asthma_news",FALSE,"Sat Dec 31 16:16:55 +0000 2011",FALSE,0,0,0,0,NA,NA
"8","Fentanyl transdermal system: Uses and side effects http://t.co/Asjqoy9E","anilsiri19",FALSE,"Sat Dec 31 10:42:27 +0000 2011",FALSE,0,0,0,0,NA,NA
"9","Fentanyl transdermal system: Uses and side effects - http://t.co/tYel0ZC","Pandula77",FALSE,"Sat Dec 31 10:25:37 +0000 2011",FALSE,0,0,0,0,NA,NA
"10","Cancer News ProStrakan announces FDA approval for Transmucosal Immediate Release Fentanyl REMS Access program: P... http://t.co/o28T0mWw","CancerNewsNet",FALSE,"Sat Dec 31 09:46:19 +0000 2011",FALSE,0,0,0,0,NA,NA
"11","@Aion_Fentanyl @AionLuneli You know you got people to feed you up ^o^,","ClaessenAion",FALSE,"Sat Dec 31 08:24:59 +0000 2011",FALSE,0,0,0,0,NA,NA
"12","@Aion_Fentanyl Nuh uh, don't do it!!!","Lunibear",FALSE,"Sat Dec 31 08:21:01 +0000 2011",FALSE,0,0,0,0,NA,NA
"13","@Aion_Fentanyl Grats! = ]","Lunibear",FALSE,"Sat Dec 31 08:16:27 +0000 2011",FALSE,0,0,0,0,NA,NA
"14","ProStrakan announces FDA approval for Transmucosal Immediate Release Fentanyl REMS Access program: ProStrakan In... http://t.co/BynjWb3b","DeliveryDrug",FALSE,"Sat Dec 31 08:15:20 +0000 2011",FALSE,0,0,0,0,NA,NA
"15","ProStrakan announces FDA approval for Transmucosal Immediate Release Fentanyl REMS Access program: ProStrakan In... http://t.co/gWjy02ya","ClinicalApprova",FALSE,"Sat Dec 31 08:05:57 +0000 2011",FALSE,0,0,0,0,NA,NA
"16","MYLAN?? PAIN PATCH?? WTF??: anybody know anything about ""Fentanyl??"" got som questions for ya???

it's NOT ok t... http://t.co/VtkEaSv0","Rants_and_Raves",FALSE,"Sat Dec 31 08:05:11 +0000 2011",FALSE,0,0,0,0,NA,NA
"17","<U+3010>drug-news<U+3011><U+3010><U+8D44><U+8BAF><U+7FFB><U+8BD1><U+3011>FDA<U+6279><U+51C6>Class REMS for Immediate-Release Fentanyl http://t.co/0E7k3zFS","XuanHuJiShi",FALSE,"Sat Dec 31 08:00:49 +0000 2011",FALSE,0,0,0,0,NA,NA
"18","DTN Pharma News: ProStrakan announces FDA approval for Transmucosal Immediate Release Fentanyl REMS Access progr... http://t.co/FB0fPaiz","DTNPharmaNews",FALSE,"Sat Dec 31 07:34:38 +0000 2011",FALSE,0,0,0,0,NA,NA
"19","<U+25C8> ProStrakan announces FDA approval for Transmucosal Immediate Release Fentanyl REMS Access program: ProStra... http://t.co/Quqo10YX <U+25C8>","fylupz",FALSE,"Sat Dec 31 07:33:54 +0000 2011",FALSE,0,0,0,0,NA,NA
"20","Medical News : ProStrakan announces FDA approval for Transmucosal Immediate Release Fentanyl REMS Access program... http://t.co/ulzu2Vvm","balimore",FALSE,"Sat Dec 31 07:33:52 +0000 2011",FALSE,0,0,0,0,NA,NA
"21","Congratulations Fentanyl on Bakarma's Spear. :)","aionVlad",FALSE,"Sat Dec 31 06:51:09 +0000 2011",FALSE,0,1,0,0,NA,NA
"22","Zelfs met alle morfine en fentanyl in mijn lijf kan ik nog niet slapen...volgens mij heb ik het gestel van een olifant","Hildetweets",FALSE,"Sat Dec 31 04:06:05 +0000 2011",FALSE,0,0,0,0,NA,NA
"23","Dude chewed and swallowed a fentanyl patch?! o_0 #drG","sincerelysb3",FALSE,"Sat Dec 31 04:00:15 +0000 2011",FALSE,0,1,0,0,NA,NA
